Replace Part  capacitor in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with capacitor from Schlib1.SchLib
Replace Part * resistor in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with resistor from Schlib1.SchLib
Replace Part * HSEC8-120-01-S-RA-TR in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with HSEC8-120-01-S-RA-TR from Schlib1.SchLib
Replace Part * resistor in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with resistor from Schlib1.SchLib
Replace Part *? resistor in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with resistor from Schlib1.SchLib
Replace Part *? resistor in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with resistor from Schlib1.SchLib
Replace Part *? resistor in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with resistor from Schlib1.SchLib
Replace Part *? resistor in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with resistor from Schlib1.SchLib
Replace Part *? resistor in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with resistor from Schlib1.SchLib
Replace Part *? resistor in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with resistor from Schlib1.SchLib
Replace Part *? resistor in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with resistor from Schlib1.SchLib
Replace Part *? capacitor in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with capacitor from Schlib1.SchLib
Replace Part *? capacitor in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with capacitor from Schlib1.SchLib
Replace Part *? capacitor in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with capacitor from Schlib1.SchLib
Replace Part *? capacitor in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with capacitor from Schlib1.SchLib
Replace Part *? resistor in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with resistor from Schlib1.SchLib
Replace Part *? resistor in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with resistor from Schlib1.SchLib
Replace Part *? capacitor in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with capacitor from Schlib1.SchLib
Replace Part *? resistor in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with resistor from Schlib1.SchLib
Replace Part *? resistor in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with resistor from Schlib1.SchLib
Replace Part *? resistor in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with resistor from Schlib1.SchLib
Replace Part *? resistor in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with resistor from Schlib1.SchLib
Replace Part *? resistor in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with resistor from Schlib1.SchLib
Replace Part *? resistor in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with resistor from Schlib1.SchLib
Replace Part *? resistor in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with resistor from Schlib1.SchLib
Replace Part *? resistor in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with resistor from Schlib1.SchLib
Replace Part *? resistor in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with resistor from Schlib1.SchLib
Replace Part *? resistor in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with resistor from Schlib1.SchLib
Replace Part *? resistor in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with resistor from Schlib1.SchLib
Replace Part *? resistor in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with resistor from Schlib1.SchLib
Replace Part -5VReg LM27762 in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with LM27762 from Schlib1.SchLib
Replace Part 3.3VReg ADP7118ARDZ-5.0-R7 in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with ADP7118ARDZ-5.0-R7 from Schlib1.SchLib
Replace Part 5VReg ADP7118ARDZ-5.0-R7 in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with ADP7118ARDZ-5.0-R7 from Schlib1.SchLib
Replace Part C1 capacitor in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with capacitor from Schlib1.SchLib
Replace Part Ccp capacitor in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with capacitor from Schlib1.SchLib
Replace Part Cvin capacitor in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with capacitor from Schlib1.SchLib
Replace Part MUX1 TS5A3359DCUT in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with TS5A3359DCUT from Schlib1.SchLib
Replace Part MUX? TS5A3359DCUT in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with TS5A3359DCUT from Schlib1.SchLib
Replace Part MUX? TS5A3359DCUT in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with TS5A3359DCUT from Schlib1.SchLib
Replace Part MUX? TS5A3359DCUT in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with TS5A3359DCUT from Schlib1.SchLib
Replace Part MUX? TS5A3359DCUT in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with TS5A3359DCUT from Schlib1.SchLib
Replace Part MUX? TS5A3359DCUT in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with TS5A3359DCUT from Schlib1.SchLib
Replace Part MUX? TS5A3359DCUT in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with TS5A3359DCUT from Schlib1.SchLib
Replace Part MUX? TS5A3359DCUT in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with TS5A3359DCUT from Schlib1.SchLib
Replace Part MUX? TS5A3359DCUT in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with TS5A3359DCUT from Schlib1.SchLib
Replace Part MUX? TS5A3359DCUT in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with TS5A3359DCUT from Schlib1.SchLib
Replace Part MUX? TS5A3359DCUT in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with TS5A3359DCUT from Schlib1.SchLib
Replace Part MUX? TS5A3359DCUT in C:\Users\57778\Desktop\multi\PCB_Project\read_out.SchDoc with TS5A3359DCUT from Schlib1.SchLib
