Altium Designer Pick and Place Locations
C:\Users\57778\Desktop\multi\PCB_Project\Project Outputs for PCB_Project\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       12/03/26
Time:       13:10
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Footprint Description","Center-X(mm)","Center-Y(mm)","Rotation","Description","Height(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Variation"
"I_TG6","SMA-J-P-H-ST-TH1","TopLayer","SMAJPHSTTH1","","199.8980mm","92.7100mm","0","SAMTEC - SMA-J-P-H-ST-TH1 - RF COAXIAL, SMA JACK, 50 OHM, PCB","0.6000mm","199.8980mm","92.7100mm","199.8980mm","92.7100mm","Fitted"
"I_TG4","SMA-J-P-H-ST-TH1","TopLayer","SMAJPHSTTH1","","199.8980mm","69.5960mm","0","SAMTEC - SMA-J-P-H-ST-TH1 - RF COAXIAL, SMA JACK, 50 OHM, PCB","0.6000mm","199.8980mm","69.5960mm","199.8980mm","69.5960mm","Fitted"
"I_SOL_G","SMA-J-P-H-ST-TH1","TopLayer","SMAJPHSTTH1","","199.8980mm","114.9350mm","0","SAMTEC - SMA-J-P-H-ST-TH1 - RF COAXIAL, SMA JACK, 50 OHM, PCB","0.6000mm","199.8980mm","114.9350mm","199.8980mm","114.9350mm","Fitted"
"I_BG","SMA-J-P-H-ST-TH1","TopLayer","SMAJPHSTTH1","","199.8980mm","46.3550mm","0","SAMTEC - SMA-J-P-H-ST-TH1 - RF COAXIAL, SMA JACK, 50 OHM, PCB","0.6000mm","199.8980mm","46.3550mm","199.8980mm","46.3550mm","Fitted"
"SOL_G","SMA-J-P-H-ST-TH1","TopLayer","SMAJPHSTTH1","","188.0870mm","114.9350mm","0","SAMTEC - SMA-J-P-H-ST-TH1 - RF COAXIAL, SMA JACK, 50 OHM, PCB","0.6000mm","188.0870mm","114.9350mm","188.0870mm","114.9350mm","Fitted"
"TG2","SMA-J-P-H-ST-TH1","TopLayer","SMAJPHSTTH1","","187.5790mm","92.7100mm","0","SAMTEC - SMA-J-P-H-ST-TH1 - RF COAXIAL, SMA JACK, 50 OHM, PCB","0.6000mm","187.5790mm","92.7100mm","187.5790mm","92.7100mm","Fitted"
"TG1","SMA-J-P-H-ST-TH1","TopLayer","SMAJPHSTTH1","","187.4520mm","69.5960mm","0","SAMTEC - SMA-J-P-H-ST-TH1 - RF COAXIAL, SMA JACK, 50 OHM, PCB","0.6000mm","187.4520mm","69.5960mm","187.4520mm","69.5960mm","Fitted"
"BG","SMA-J-P-H-ST-TH1","TopLayer","SMAJPHSTTH1","","187.4520mm","46.3550mm","0","SAMTEC - SMA-J-P-H-ST-TH1 - RF COAXIAL, SMA JACK, 50 OHM, PCB","0.6000mm","187.4520mm","46.3550mm","187.4520mm","46.3550mm","Fitted"
"R1","100M","TopLayer","CR0805-FX-1543ELF","","186.6240mm","121.6660mm","180","","0.0000mm","134.3000mm","158.7500mm","187.5740mm","121.6660mm","Fitted"
"Q14","AD8510ARZ","TopLayer","AD8510ARZ","","186.5630mm","83.0130mm","270","","0.0000mm","211.7090mm","-66.5930mm","188.4680mm","85.7250mm","Fitted"
"Q13","AD8510ARZ","TopLayer","AD8510ARZ","","186.4360mm","60.1160mm","270","","0.0000mm","211.5820mm","-89.4900mm","188.3410mm","62.8280mm","Fitted"
"Q12","AD8510ARZ","TopLayer","AD8510ARZ","","186.3090mm","34.7530mm","270","","0.0000mm","211.4550mm","-114.8530mm","188.2140mm","37.4650mm","Fitted"
"Q11","AD8510ARZ","TopLayer","AD8510ARZ","","186.3090mm","104.9840mm","270","","0.0000mm","211.4550mm","-44.6220mm","188.2140mm","107.6960mm","Fitted"
"R2","100M","TopLayer","CR0805-FX-1543ELF","","186.2480mm","52.3240mm","180","","0.0000mm","133.9240mm","89.4080mm","187.1980mm","52.3240mm","Fitted"
"R6","100M","TopLayer","CR0805-FX-1543ELF","","185.3590mm","98.0440mm","180","","0.0000mm","133.0350mm","135.1280mm","186.3090mm","98.0440mm","Fitted"
"R3","100M","TopLayer","CR0805-FX-1543ELF","","184.4650mm","75.4380mm","180","","0.0000mm","132.1410mm","112.5220mm","185.4150mm","75.4380mm","Fitted"
"CH10_OUT","SMA-J-P-H-ST-TH1","TopLayer","SMAJPHSTTH1","","177.5460mm","40.2590mm","0","SAMTEC - SMA-J-P-H-ST-TH1 - RF COAXIAL, SMA JACK, 50 OHM, PCB","0.6000mm","177.5460mm","40.2590mm","177.5460mm","40.2590mm","Fitted"
"Q9","AD8510ARZ","BottomLayer","AD8510ARZ","","177.4190mm","50.2470mm","90","","0.0000mm","202.5650mm","199.8530mm","179.3240mm","47.5350mm","Fitted"
"Q2","AD8510ARZ","BottomLayer","AD8510ARZ","","177.4190mm","83.6480mm","90","","0.0000mm","202.5650mm","233.2540mm","179.3240mm","80.9360mm","Fitted"
"CH5_OUT","SMA-J-P-H-ST-TH1","TopLayer","SMAJPHSTTH1","","176.1744mm","73.1520mm","90","SAMTEC - SMA-J-P-H-ST-TH1 - RF COAXIAL, SMA JACK, 50 OHM, PCB","0.6000mm","176.1744mm","73.1520mm","176.1744mm","73.1520mm","Fitted"
"R85","10k","BottomLayer","CR0805-FX-1543ELF","","173.2280mm","47.1830mm","270","","0.0000mm","210.3120mm","-5.1410mm","173.2280mm","48.1330mm","Fitted"
"R62","10k","BottomLayer","CR0805-FX-1543ELF","","172.6184mm","81.2875mm","270","","0.0000mm","209.7024mm","28.9635mm","172.6184mm","82.2375mm","Fitted"
"C26","80n","BottomLayer","0805X7R106KT1AT","","171.0690mm","46.9390mm","90","","0.0000mm","83.5660mm","382.2190mm","171.0690mm","45.9990mm","Fitted"
"C16","80n","BottomLayer","0805X7R106KT1AT","","170.8150mm","81.1020mm","90","","0.0000mm","83.3120mm","416.3820mm","170.8150mm","80.1620mm","Fitted"
"R63","110k","BottomLayer","CR0805-FX-1543ELF","","170.7540mm","68.8340mm","180","","0.0000mm","118.4300mm","31.7500mm","171.7040mm","68.8340mm","Fitted"
"R86","110k","BottomLayer","CR0805-FX-1543ELF","","170.3730mm","33.5280mm","180","","0.0000mm","118.0490mm","-3.5560mm","171.3230mm","33.5280mm","Fitted"
"B19","ADA4610-2ARZ-R7","BottomLayer","SOIC127P600X175-8N","","169.4180mm","40.8490mm","90","Low Noise, Precision, Rail-to-Rail Output, JFET Dual Op Amp +/-5 V to +/-15 V 40C to +125C","0.0000mm","169.4180mm","40.8490mm","171.3230mm","38.1370mm","Fitted"
"B10","ADA4610-2ARZ-R7","BottomLayer","SOIC127P600X175-8N","","168.6180mm","75.3698mm","90","Low Noise, Precision, Rail-to-Rail Output, JFET Dual Op Amp +/-5 V to +/-15 V 40C to +125C","0.0000mm","168.6180mm","75.3698mm","170.5230mm","72.6577mm","Fitted"
"R80","110k","BottomLayer","CR0805-FX-1543ELF","","168.5115mm","47.1830mm","90","","0.0000mm","131.4275mm","99.5070mm","168.5115mm","46.2330mm","Fitted"
"R60","110k","BottomLayer","CR0805-FX-1543ELF","","168.2291mm","81.2875mm","90","","0.0000mm","131.1451mm","133.6115mm","168.2291mm","80.3375mm","Fitted"
"R61","110k","BottomLayer","CR0805-FX-1543ELF","","168.1480mm","69.0270mm","90","","0.0000mm","131.0640mm","121.3510mm","168.1480mm","68.0770mm","Fitted"
"R83","110k","BottomLayer","CR0805-FX-1543ELF","","167.6400mm","34.2240mm","90","","0.0000mm","130.5560mm","86.5480mm","167.6400mm","33.2740mm","Fitted"
"C23","10p","BottomLayer","0805X7R106KT1AT","","166.3423mm","47.0080mm","90","","0.0000mm","78.8393mm","382.2880mm","166.3423mm","46.0680mm","Fitted"
"C15","10p","BottomLayer","0805X7R106KT1AT","","166.0144mm","81.1125mm","90","","0.0000mm","78.5114mm","416.3925mm","166.0144mm","80.1725mm","Fitted"
"VD10","SMA-J-P-H-ST-TH1","TopLayer","SMAJPHSTTH1","","161.1884mm","40.1140mm","0","SAMTEC - SMA-J-P-H-ST-TH1 - RF COAXIAL, SMA JACK, 50 OHM, PCB","0.6000mm","161.1884mm","40.1140mm","161.1884mm","40.1140mm","Fitted"
"VD5","SMA-J-P-H-ST-TH1","TopLayer","SMAJPHSTTH1","","161.1884mm","73.1520mm","180","SAMTEC - SMA-J-P-H-ST-TH1 - RF COAXIAL, SMA JACK, 50 OHM, PCB","0.6000mm","161.1884mm","73.1520mm","161.1884mm","73.1520mm","Fitted"
"R79","110k","BottomLayer","CR0805-FX-1543ELF","","157.7950mm","47.4980mm","0","","0.0000mm","210.1190mm","84.5820mm","156.8450mm","47.4980mm","Fitted"
"R59","110k","BottomLayer","CR0805-FX-1543ELF","","157.5460mm","81.5340mm","0","","0.0000mm","209.8700mm","118.6180mm","156.5960mm","81.5340mm","Fitted"
"S_IN5","SMA-J-P-H-ST-TH1","TopLayer","SMAJPHSTTH1","","152.5270mm","9.9000mm","0","SAMTEC - SMA-J-P-H-ST-TH1 - RF COAXIAL, SMA JACK, 50 OHM, PCB","0.6000mm","152.5270mm","9.9000mm","152.5270mm","9.9000mm","Fitted"
"B32","TMUX1109PWR","BottomLayer","TMUX1109PWR","","152.4000mm","24.7650mm","180","TMUX1109PWR","0.0000mm","152.6540mm","23.6220mm","155.3380mm","27.0400mm","Fitted"
"B35","TMUX1109PWR","BottomLayer","TMUX1109PWR","","150.1140mm","106.1720mm","180","TMUX1109PWR","0.0000mm","150.3680mm","105.0290mm","153.0520mm","108.4470mm","Fitted"
"Q6","AD8510ARZ","BottomLayer","AD8510ARZ","","144.2720mm","82.8860mm","90","","0.0000mm","169.4180mm","232.4920mm","146.1770mm","80.1740mm","Fitted"
"Q8","AD8510ARZ","BottomLayer","AD8510ARZ","","143.8910mm","49.5750mm","90","","0.0000mm","169.0370mm","199.1810mm","145.7960mm","46.8630mm","Fitted"
"CH4_OUT","SMA-J-P-H-ST-TH1","TopLayer","SMAJPHSTTH1","","143.4084mm","73.1520mm","0","SAMTEC - SMA-J-P-H-ST-TH1 - RF COAXIAL, SMA JACK, 50 OHM, PCB","0.6000mm","143.4084mm","73.1520mm","143.4084mm","73.1520mm","Fitted"
"CH9_OUT","SMA-J-P-H-ST-TH1","TopLayer","SMAJPHSTTH1","","143.2560mm","40.2590mm","0","SAMTEC - SMA-J-P-H-ST-TH1 - RF COAXIAL, SMA JACK, 50 OHM, PCB","0.6000mm","143.2560mm","40.2590mm","143.2560mm","40.2590mm","Fitted"
"B34","TMUX1109PWR","BottomLayer","TMUX1109PWR","","139.5730mm","106.0450mm","180","TMUX1109PWR","0.0000mm","139.8270mm","104.9020mm","142.5110mm","108.3200mm","Fitted"
"R57","10k","BottomLayer","CR0805-FX-1543ELF","","139.0650mm","80.8330mm","270","","0.0000mm","176.1490mm","28.5090mm","139.0650mm","81.7830mm","Fitted"
"R77","10k","BottomLayer","CR0805-FX-1543ELF","","138.6840mm","48.0720mm","270","","0.0000mm","175.7680mm","-4.2520mm","138.6840mm","49.0220mm","Fitted"
"R58","110k","BottomLayer","CR0805-FX-1543ELF","","138.1100mm","68.0720mm","180","","0.0000mm","85.7860mm","30.9880mm","139.0600mm","68.0720mm","Fitted"
"R78","110k","BottomLayer","CR0805-FX-1543ELF","","137.2260mm","34.6710mm","180","","0.0000mm","84.9020mm","-2.4130mm","138.1760mm","34.6710mm","Fitted"
"C14","80n","BottomLayer","0805X7R106KT1AT","","137.0330mm","80.4670mm","90","","0.0000mm","49.5300mm","415.7470mm","137.0330mm","79.5270mm","Fitted"
"C22","80n","BottomLayer","0805X7R106KT1AT","","136.7790mm","47.3200mm","90","","0.0000mm","49.2760mm","382.6000mm","136.7790mm","46.3800mm","Fitted"
"B8","ADA4610-2ARZ-R7","BottomLayer","SOIC127P600X175-8N","","136.1440mm","74.9300mm","90","Low Noise, Precision, Rail-to-Rail Output, JFET Dual Op Amp +/-5 V to +/-15 V 40C to +125C","0.0000mm","136.1440mm","74.9300mm","138.0490mm","72.2180mm","Fitted"
"R56","110k","BottomLayer","CR0805-FX-1543ELF","","135.3820mm","68.2650mm","90","","0.0000mm","98.2980mm","120.5890mm","135.3820mm","67.3150mm","Fitted"
"B16","ADA4610-2ARZ-R7","BottomLayer","SOIC127P600X175-8N","","135.0010mm","41.7830mm","90","Low Noise, Precision, Rail-to-Rail Output, JFET Dual Op Amp +/-5 V to +/-15 V 40C to +125C","0.0000mm","135.0010mm","41.7830mm","136.9060mm","39.0710mm","Fitted"
"R72","110k","BottomLayer","CR0805-FX-1543ELF","","134.7470mm","47.3100mm","90","","0.0000mm","97.6630mm","99.6340mm","134.7470mm","46.3600mm","Fitted"
"R55","110k","BottomLayer","CR0805-FX-1543ELF","","134.7470mm","80.5840mm","90","","0.0000mm","97.6630mm","132.9080mm","134.7470mm","79.6340mm","Fitted"
"R74","110k","BottomLayer","CR0805-FX-1543ELF","","134.6200mm","35.2450mm","90","","0.0000mm","97.5360mm","87.5690mm","134.6200mm","34.2950mm","Fitted"
"C20","10p","BottomLayer","0805X7R106KT1AT","","132.8420mm","47.0660mm","90","","0.0000mm","45.3390mm","382.3460mm","132.8420mm","46.1260mm","Fitted"
"C13","10p","BottomLayer","0805X7R106KT1AT","","132.8420mm","80.3400mm","90","","0.0000mm","45.3390mm","415.6200mm","132.8420mm","79.4000mm","Fitted"
"S_IN4","SMA-J-P-H-ST-TH1","TopLayer","SMAJPHSTTH1","","129.2860mm","9.9000mm","0","SAMTEC - SMA-J-P-H-ST-TH1 - RF COAXIAL, SMA JACK, 50 OHM, PCB","0.6000mm","129.2860mm","9.9000mm","129.2860mm","9.9000mm","Fitted"
"B33","TMUX1109PWR","BottomLayer","TMUX1109PWR","","129.1590mm","106.0450mm","180","TMUX1109PWR","0.0000mm","129.4130mm","104.9020mm","132.0970mm","108.3200mm","Fitted"
"VD4","SMA-J-P-H-ST-TH1","TopLayer","SMAJPHSTTH1","","127.2794mm","73.1520mm","0","SAMTEC - SMA-J-P-H-ST-TH1 - RF COAXIAL, SMA JACK, 50 OHM, PCB","0.6000mm","127.2794mm","73.1520mm","127.2794mm","73.1520mm","Fitted"
"VD9","SMA-J-P-H-ST-TH1","TopLayer","SMAJPHSTTH1","","126.8730mm","40.3860mm","0","SAMTEC - SMA-J-P-H-ST-TH1 - RF COAXIAL, SMA JACK, 50 OHM, PCB","0.6000mm","126.8730mm","40.3860mm","126.8730mm","40.3860mm","Fitted"
"R54","110k","BottomLayer","CR0805-FX-1543ELF","","123.8860mm","81.5340mm","0","","0.0000mm","176.2100mm","118.6180mm","122.9360mm","81.5340mm","Fitted"
"R71","110k","BottomLayer","CR0805-FX-1543ELF","","123.7640mm","47.6250mm","0","","0.0000mm","176.0880mm","84.7090mm","122.8140mm","47.6250mm","Fitted"
"B22","TMUX1109PWR","BottomLayer","TMUX1109PWR","","117.2210mm","25.1150mm","0","TMUX1109PWR","0.0000mm","116.9670mm","26.2580mm","114.2830mm","22.8400mm","Fitted"
"HSEC8-120-01-S-RA-TR","HSEC8-120-01-S-RA-TR","TopLayer","SAMTEC_HSEC8-120-01-L-RA","","113.3130mm","118.8465mm","180","HSEC8-120-01-S-RA-TR","0.6000mm","113.3130mm","115.8840mm","120.9130mm","116.8840mm","Fitted"
"S_IN3","SMA-J-P-H-ST-TH1","TopLayer","SMAJPHSTTH1","","112.2680mm","9.9000mm","0","SAMTEC - SMA-J-P-H-ST-TH1 - RF COAXIAL, SMA JACK, 50 OHM, PCB","0.6000mm","112.2680mm","9.9000mm","112.2680mm","9.9000mm","Fitted"
"Q5","AD8510ARZ","BottomLayer","AD8510ARZ","","108.9660mm","82.4680mm","90","","0.0000mm","134.1120mm","232.0740mm","110.8710mm","79.7560mm","Fitted"
"Q10","AD8510ARZ","BottomLayer","AD8510ARZ","","108.0770mm","48.9400mm","90","","0.0000mm","133.2230mm","198.5460mm","109.9820mm","46.2280mm","Fitted"
"CH3_OUT","SMA-J-P-H-ST-TH1","TopLayer","SMAJPHSTTH1","","107.8230mm","73.1520mm","0","SAMTEC - SMA-J-P-H-ST-TH1 - RF COAXIAL, SMA JACK, 50 OHM, PCB","0.6000mm","107.8230mm","73.1520mm","107.8230mm","73.1520mm","Fitted"
"CH8_OUT","SMA-J-P-H-ST-TH1","TopLayer","SMAJPHSTTH1","","107.4674mm","39.9870mm","0","SAMTEC - SMA-J-P-H-ST-TH1 - RF COAXIAL, SMA JACK, 50 OHM, PCB","0.6000mm","107.4674mm","39.9870mm","107.4674mm","39.9870mm","Fitted"
"B31","TMUX1109PWR","BottomLayer","TMUX1109PWR","","105.5370mm","106.2680mm","0","TMUX1109PWR","0.0000mm","105.2830mm","107.4110mm","102.5990mm","103.9930mm","Fitted"
"R52","10k","BottomLayer","CR0805-FX-1543ELF","","103.8860mm","80.3250mm","270","","0.0000mm","140.9700mm","28.0010mm","103.8860mm","81.2750mm","Fitted"
"R87","10k","BottomLayer","CR0805-FX-1543ELF","","103.3970mm","46.9975mm","270","","0.0000mm","140.4810mm","-5.3265mm","103.3970mm","47.9475mm","Fitted"
"R88","110k","BottomLayer","CR0805-FX-1543ELF","","102.6770mm","33.7820mm","180","","0.0000mm","50.3530mm","-3.3020mm","103.6270mm","33.7820mm","Fitted"
"C12","80n","BottomLayer","0805X7R106KT1AT","","101.9810mm","80.1880mm","90","","0.0000mm","14.4780mm","415.4680mm","101.9810mm","79.2480mm","Fitted"
"R53","110k","BottomLayer","CR0805-FX-1543ELF","","101.5340mm","66.9290mm","180","","0.0000mm","49.2100mm","29.8450mm","102.4840mm","66.9290mm","Fitted"
"C27","80n","BottomLayer","0805X7R106KT1AT","","101.0300mm","46.8225mm","90","","0.0000mm","13.5270mm","382.1025mm","101.0300mm","45.8825mm","Fitted"
"R50","110k","BottomLayer","CR0805-FX-1543ELF","","99.5680mm","80.3250mm","90","","0.0000mm","62.4840mm","132.6490mm","99.5680mm","79.3750mm","Fitted"
"B20","ADA4610-2ARZ-R7","BottomLayer","SOIC127P600X175-8N","","99.4410mm","40.1320mm","90","Low Noise, Precision, Rail-to-Rail Output, JFET Dual Op Amp +/-5 V to +/-15 V 40C to +125C","0.0000mm","99.4410mm","40.1320mm","101.3460mm","37.4200mm","Fitted"
"B6","ADA4610-2ARZ-R7","BottomLayer","SOIC127P600X175-8N","","99.4410mm","74.1230mm","90","Low Noise, Precision, Rail-to-Rail Output, JFET Dual Op Amp +/-5 V to +/-15 V 40C to +125C","0.0000mm","99.4410mm","74.1230mm","101.3460mm","71.4110mm","Fitted"
"R84","110k","BottomLayer","CR0805-FX-1543ELF","","99.3140mm","34.4780mm","90","","0.0000mm","62.2300mm","86.8020mm","99.3140mm","33.5280mm","Fitted"
"R82","110k","BottomLayer","CR0805-FX-1543ELF","","98.7030mm","46.9975mm","90","","0.0000mm","61.6190mm","99.3215mm","98.7030mm","46.0475mm","Fitted"
"R51","110k","BottomLayer","CR0805-FX-1543ELF","","98.6790mm","67.6300mm","90","","0.0000mm","61.5950mm","119.9540mm","98.6790mm","66.6800mm","Fitted"
"C11","10p","BottomLayer","0805X7R106KT1AT","","97.4090mm","79.9590mm","90","","0.0000mm","9.9060mm","415.2390mm","97.4090mm","79.0190mm","Fitted"
